chicken breasts,0,4,2,7,0,21,9,41,3,5,1,8,9,1,60,30,62,0,15,0,4,0,
chicken thighs,1,6,4,4,1,16,5,34,5,9,3,6,26,11,29,4,27,0,8,1,1,2,
carrot,3,5,2,3,6,4,8,0,5,2,557,6,0,4,6,5,11,7,2,0,4,11,
celery,3,4,1,3,4,2,7,1,5,1,15,2,0,4,2,5,6,3,1,0,2,24,
tomato,1,7,2,3,5,2,6,0,0,1,28,3,0,1,4,2,6,15,1,0,4,7,
potato,1,12,5,5,7,6,11,1,0,2,0,7,0,2,7,6,23,22,2,0,0,2,
sweet potato,2,17,3,6,11,5,9,1,4,2,473,7,0,5,3,16,16,3,2,0,2,2,
peppers,1,2,2,3,5,3,6,0,0,2,104,5,0,7,6,6,22,142,1,0,11,4,
wine,1,1,2,2,0,2,2,0,2,1,0,0,0,1,1,0,2,0,1,0,0,0,
flour,1,16,26,5,30,11,3,62,0,5,0,65,0,38,37,9,3,0,2,0,0,0,
eggs,4,8,10,3,1,20,4,56,9,9,18,3,37,35,0,31,13,0,53,14,7,0,
